请输入N的范围:1<N<700
请输入数据取点个数:700
请输入要保存的有效数字:6
方程右侧是否引入最后一项修正项?(N/Y):n

=========================================================================

N                      N!                    Appro_Val                    Differ                  1/(Rela_Differ)

0                      1E0                       1E0                       0E0                       0E0


1                      1E0                       0E0                       1E0                       1E0


2                      2E0                       0E0                       2E0                       1E0


3                      6E0                       1E0                       5E0                       1E0


4                      24E0                       4E0                       20E0                       1E0


5                      120E0                       21E0                       99E0                       1E0


160                      471472E279                       148620E278                       456610E279                       1E0


161                      759070E281                       238536E280                       735216E281                       1E0


162                      122969E284                       385235E282                       119117E284                       1E0


163                      200440E286                       626006E284                       194180E286                       0E0


164                      328721E288                       102351E287                       318486E288                       1E0


165                      542391E290                       168368E289                       525554E290                       1E0


166                      900369E292                       278649E291                       872504E292                       1E0


167                      150361E295                       463951E293                       145722E295                       1E0


168                      252607E297                       777116E295                       244836E297                       1E0


169                      426906E299                       130944E298                       413812E299                       1E0


170                      725741E301                       221949E300                       703546E301                       1E0


171                      124101E304                       378423E302                       120317E304                       1E0


172                      213455E306                       648995E304                       206965E306                       1E0


173                      369277E308                       111951E307                       358082E308                       1E0


174                      642542E310                       194235E309                       623118E310                       1E0


175                      112444E313                       338941E311                       109055E313                       1E0


176                      197903E315                       594840E313                       191954E315                       1E0


177                      350288E317                       104989E316                       339789E317                       1E0


178                      623513E319                       186355E318                       604877E319                       1E0


179                      111608E322                       332644E320                       108282E322                       1E0


180                      200896E324                       597096E322                       194925E324                       0E0


181                      363621E326                       107775E325                       352844E326                       1E0


182                      661791E328                       195612E327                       642230E328                       1E0


183                      121107E331                       356992E329                       117537E331                       1E0


184                      222838E333                       655080E331                       216287E333                       1E0


185                      412251E335                       120862E334                       400165E335                       1E0


186                      766787E337                       224199E336                       744367E337                       1E0


187                      143389E340                       418130E338                       139207E340                       1E0


188                      269571E342                       783994E340                       261731E342                       1E0


189                      509490E344                       147782E343                       494712E344                       1E0


190                      968032E346                       280048E345                       940027E346                       1E0


191                      184894E349                       533491E347                       179559E349                       1E0


192                      354996E351                       102163E350                       344780E351                       1E0


193                      685143E353                       196664E352                       665477E353                       1E0


194                      132917E356                       380545E354                       129112E356                       1E0


195                      259189E358                       740159E356                       251788E358                       1E0


196                      508012E360                       144701E359                       493542E360                       1E0


197                      100078E363                       284337E361                       972350E362                       1E0


198                      198155E365                       561565E363                       192539E365                       1E0


199                      394328E367                       111470E366                       383181E367                       1E0


200                      788657E369                       222383E368                       766419E369                       1E0


201                      158520E372                       445878E370                       154061E372                       1E0


202                      320210E374                       898444E372                       311226E374                       1E0


203                      650028E376                       181934E375                       631834E376                       1E0


204                      132605E379                       370237E377                       128903E379                       1E0


205                      271841E381                       757133E379                       264270E381                       1E0


206                      559993E383                       155590E382                       544434E383                       1E0


207                      115918E386                       321294E384                       112705E386                       1E0


208                      241111E388                       666686E386                       234444E388                       1E0


209                      503922E390                       139003E389                       490021E390                       1E0


210                      105823E393                       291212E391                       102911E393                       1E0


211                      223287E395                       613002E393                       217157E395                       1E0


212                      473370E397                       129649E396                       460405E397                       1E0


213                      100827E400                       275505E398                       980727E399                       1E0


214                      215771E402                       588204E400                       209889E402                       1E0


215                      463908E404                       126169E403                       451291E404                       1E0


216                      100204E407                       271895E405                       974853E406                       1E0


217                      217443E409                       588653E407                       211556E409                       1E0


218                      474026E411                       128032E410                       461223E411                       1E0


219                      103811E414                       279749E412                       101014E414                       1E0


220                      228386E416                       614050E414                       222245E416                       1E0


221                      504733E418                       135397E417                       491193E418                       1E0


222                      112050E421                       299906E419                       109051E421                       1E0


223                      249873E423                       667290E421                       243200E423                       1E0


224                      559715E425                       149139E424                       544802E425                       1E0


225                      125936E428                       334817E426                       122587E428                       1E0


226                      284615E430                       755012E428                       277065E430                       1E0


227                      646077E432                       171010E431                       628976E432                       1E0


228                      147305E435                       389048E433                       143415E435                       1E0


229                      337329E437                       888974E435                       328440E437                       1E0


230                      775858E439                       204019E438                       755456E439                       1E0


231                      179223E442                       470264E440                       174520E442                       1E0


232                      415798E444                       108866E443                       404911E444                       1E0


233                      968809E446                       253113E445                       943498E446                       1E0


234                      226701E449                       591019E447                       220791E449                       1E0


235                      532748E451                       138593E450                       518889E451                       1E0


236                      125728E454                       326388E452                       122464E454                       1E0


237                      297976E456                       771908E454                       290257E456                       1E0


238                      709185E458                       183328E457                       690852E458                       1E0


239                      169495E461                       437237E459                       165122E461                       1E0


240                      406788E463                       104718E462                       396316E463                       1E0


241                      980360E465                       251847E464                       955175E465                       1E0


242                      237247E468                       608210E466                       231165E468                       1E0


243                      576510E470                       147490E469                       561761E470                       1E0


244                      140668E473                       359140E471                       137077E473                       1E0


245                      344638E475                       878097E473                       335857E475                       1E0


246                      847809E477                       215572E476                       826252E477                       1E0


247                      209409E480                       531386E478                       204095E480                       1E0


248                      519334E482                       131518E481                       506182E482                       1E0


249                      129314E485                       326822E483                       126046E485                       1E0


250                      323285E487                       815420E485                       315131E487                       1E0


251                      811446E489                       204262E488                       791020E489                       1E0


252                      204484E492                       513720E490                       199347E492                       0E0


253                      517346E494                       129714E493                       504374E494                       1E0


254                      131405E497                       328825E495                       128117E497                       1E0


255                      335085E499                       836860E497                       326716E499                       1E0


256                      857817E501                       213817E500                       836436E501                       1E0


257                      220459E504                       548442E502                       214974E504                       1E0


