请输入N的范围:1<N<700
请输入数据取点个数:700
请输入要保存的有效数字:6
方程右侧是否引入最后一项修正项?(N/Y):n

=========================================================================

N                      N!                    Appro_Val                    Differ                  1/(Rela_Differ)

0                      1E0                       1E0                       0E0                       0E0


1                      1E0                       0E0                       1E0                       1E0


2                      2E0                       0E0                       2E0                       1E0


3                      6E0                       1E0                       5E0                       1E0


4                      24E0                       4E0                       20E0                       1E0


5                      120E0                       21E0                       99E0                       1E0


493                      162906E1110                       292652E1108                       159979E1110                       1E0


494                      804758E1112                       144423E1111                       790315E1112                       1E0


495                      398355E1115                       714175E1113                       391213E1115                       1E0


496                      197584E1118                       353873E1116                       194045E1118                       1E0


497                      981993E1120                       175698E1119                       964423E1120                       1E0


498                      489032E1123                       874099E1121                       480291E1123                       1E0


499                      244027E1126                       435738E1124                       239669E1126                       1E0


500                      122013E1129                       217651E1127                       119837E1129                       1E0


501                      611288E1131                       108934E1130                       600395E1131                       1E0


502                      306866E1134                       546306E1132                       301403E1134                       1E0


503                      154354E1137                       274518E1135                       151608E1137                       1E0


504                      777944E1139                       138220E1138                       764122E1139                       1E0


505                      392861E1142                       697320E1140                       385888E1142                       1E0


506                      198788E1145                       352495E1143                       195263E1145                       1E0


507                      100785E1148                       178538E1146                       990001E1147                       1E0


508                      511990E1150                       906085E1148                       502929E1150                       1E0


509                      260603E1153                       460744E1151                       255995E1153                       1E0


510                      132907E1156                       234749E1154                       130560E1156                       1E0


511                      679158E1158                       119839E1157                       667174E1158                       1E0


512                      347728E1161                       612978E1159                       341599E1161                       1E0


513                      178384E1164                       314151E1162                       175243E1164                       1E0


514                      916898E1166                       161316E1165                       900767E1166                       1E0


515                      472202E1169                       829974E1167                       463903E1169                       1E0


516                      243656E1172                       427851E1170                       239378E1172                       1E0


517                      125970E1175                       220985E1173                       123760E1175                       1E0


518                      652527E1177                       114359E1176                       641091E1177                       1E0


519                      338661E1180                       592956E1178                       332732E1180                       1E0


520                      176104E1183                       308040E1181                       173023E1183                       1E0


521                      917502E1185                       160335E1184                       901468E1185                       1E0


522                      478936E1188                       836147E1186                       470574E1188                       1E0


523                      250483E1191                       436887E1189                       246114E1191                       1E0


524                      131253E1194                       228710E1192                       128966E1194                       1E0


525                      689080E1196                       119958E1195                       677084E1196                       1E0


526                      362456E1199                       630382E1197                       356152E1199                       1E0


527                      191014E1202                       331896E1200                       187695E1202                       1E0


528                      100855E1205                       175075E1203                       991048E1204                       1E0


529                      533526E1207                       925272E1205                       524273E1207                       1E0


530                      282768E1210                       489931E1208                       277869E1210                       1E0


531                      150150E1213                       259908E1211                       147551E1213                       1E0


532                      798799E1215                       138141E1214                       784985E1215                       1E0


533                      425760E1218                       735603E1216                       418404E1218                       1E0


534                      227355E1221                       392444E1219                       223431E1221                       1E0


535                      121635E1224                       209761E1222                       119537E1224                       1E0


536                      651965E1226                       112327E1225                       640733E1226                       1E0


537                      350105E1229                       602635E1227                       344079E1229                       1E0


538                      188356E1232                       323916E1230                       185117E1232                       1E0


539                      101524E1235                       174428E1233                       997800E1234                       1E0


540                      548231E1237                       941044E1235                       538820E1237                       1E0


541                      296593E1240                       508634E1238                       291506E1240                       1E0


542                      160753E1243                       275425E1241                       157999E1243                       1E0


543                      872891E1245                       149418E1244                       857949E1245                       1E0


544                      474853E1248                       812088E1246                       466732E1248                       1E0


545                      258794E1251                       442182E1249                       254373E1251                       1E0


546                      141302E1254                       241210E1252                       138889E1254                       1E0


547                      772921E1256                       131821E1255                       759739E1256                       1E0


548                      423561E1259                       721722E1257                       416344E1259                       1E0


549                      232535E1262                       395864E1260                       228576E1262                       1E0


550                      127894E1265                       217527E1263                       125719E1265                       1E0


551                      704697E1267                       119748E1266                       692722E1267                       1E0


552                      388993E1270                       660414E1268                       382388E1270                       1E0


553                      215113E1273                       364879E1271                       211464E1273                       1E0


554                      119172E1276                       201960E1274                       117153E1276                       1E0


555                      661408E1278                       111987E1277                       650209E1278                       1E0


556                      367743E1281                       622088E1279                       361522E1281                       1E0


557                      204832E1284                       346192E1282                       201371E1284                       1E0


558                      114296E1287                       193002E1285                       112366E1287                       1E0


559                      638919E1289                       107791E1288                       628139E1289                       1E0


560                      357794E1292                       603094E1290                       351763E1292                       1E0


561                      200722E1295                       338034E1293                       197342E1295                       0E0


562                      112806E1298                       189806E1296                       110908E1298                       1E0


563                      635098E1300                       106766E1299                       624422E1300                       1E0


564                      358195E1303                       601626E1301                       352179E1303                       1E0


565                      202380E1306                       339618E1304                       198984E1306                       0E0


566                      114547E1309                       192053E1307                       112626E1309                       1E0


567                      649483E1311                       108798E1310                       638604E1311                       1E0


568                      368906E1314                       617431E1312                       362732E1314                       1E0


569                      209908E1317                       351009E1315                       206397E1317                       1E0


570                      119647E1320                       199900E1318                       117648E1320                       1E0


571                      683187E1322                       114043E1321                       671783E1322                       1E0


572                      390783E1325                       651755E1323                       384265E1325                       1E0


573                      223918E1328                       373130E1326                       220187E1328                       1E0


574                      128529E1331                       213990E1329                       126389E1331                       1E0


575                      739044E1333                       122937E1332                       726750E1333                       1E0


576                      425689E1336                       707503E1334                       418614E1336                       1E0


577                      245622E1339                       407875E1337                       241544E1339                       1E0


578                      141969E1342                       235548E1340                       139614E1342                       1E0


579                      822006E1344                       136264E1343                       808379E1344                       1E0


580                      476763E1347                       789653E1345                       468867E1347                       1E0


581                      276999E1350                       458394E1348                       272415E1350                       1E0


582                      161213E1353                       266556E1351                       158548E1353                       1E0


583                      939876E1355                       155268E1354                       924349E1355                       1E0


584                      548887E1358                       905993E1356                       539827E1358                       1E0


585                      321099E1361                       529553E1359                       315803E1361                       1E0


586                      188164E1364                       310053E1362                       185063E1364                       1E0


587                      110452E1367                       181846E1365                       108633E1367                       1E0


588                      649460E1369                       106834E1368                       638776E1369                       1E0


589                      382532E1372                       628722E1370                       376244E1372                       1E0


590                      225693E1375                       370631E1373                       221987E1375                       1E0


591                      133385E1378                       218857E1376                       131196E1378                       1E0


592                      789639E1380                       129454E1379                       776694E1380                       1E0


593                      468256E1383                       767017E1381                       460586E1383                       1E0


594                      278144E1386                       455224E1384                       273592E1386                       1E0


595                      165495E1389                       270631E1387                       162789E1389                       1E0


596                      986355E1391                       161160E1390                       970239E1391                       1E0


597                      588854E1394                       961324E1392                       579240E1394                       1E0


598                      352134E1397                       574391E1395                       346390E1397                       1E0


599                      210928E1400                       343773E1398                       207490E1400                       1E0


600                      126557E1403                       206091E1401                       124496E1403                       1E0


601                      760608E1405                       123758E1404                       748233E1405                       1E0


602                      457886E1408                       744405E1406                       450442E1408                       1E0


603                      276105E1411                       448504E1409                       271620E1411                       1E0


604                      166767E1414                       270672E1412                       164061E1414                       1E0


605                      100894E1417                       163621E1415                       992583E1416                       1E0


606                      611420E1419                       990727E1417                       601513E1419                       1E0


607                      371132E1422                       600876E1420                       365123E1422                       1E0


608                      225648E1425                       365032E1423                       221998E1425                       1E0


609                      137419E1428                       222122E1426                       135198E1428                       1E0


610                      838261E1430                       135383E1429                       824723E1430                       1E0


611                      512177E1433                       826515E1431                       503912E1433                       1E0


612                      313452E1436                       505414E1434                       308398E1436                       1E0


613                      192146E1439                       309566E1437                       189050E1439                       1E0


614                      117978E1442                       189918E1440                       116078E1442                       1E0


615                      725564E1444                       116705E1443                       713894E1444                       1E0


616                      446947E1447                       718319E1445                       439764E1447                       1E0


617                      275766E1450                       442844E1448                       271338E1450                       1E0


618                      170423E1453                       273456E1451                       167689E1453                       1E0


619                      105492E1456                       169132E1454                       103801E1456                       1E0


620                      654052E1458                       104777E1457                       643575E1458                       1E0


621                      406166E1461                       650145E1459                       399665E1461                       0E0


622                      252635E1464                       404065E1462                       248595E1464                       1E0


623                      157392E1467                       251530E1465                       154876E1467                       1E0


624                      982126E1469                       156829E1468                       966443E1469                       1E0


625                      613829E1472                       979398E1470                       604035E1472                       1E0


626                      384257E1475                       612614E1473                       378130E1475                       1E0


627                      240929E1478                       383802E1476                       237091E1478                       1E0


628                      151303E1481                       240836E1479                       148895E1481                       1E0


629                      951699E1483                       151365E1482                       936562E1483                       1E0


630                      599570E1486                       952845E1484                       590041E1486                       1E0


631                      378328E1489                       600769E1487                       372321E1489                       1E0


632                      239103E1492                       379385E1490                       235310E1492                       1E0


633                      151352E1495                       239961E1493                       148953E1495                       1E0


634                      959576E1497                       152015E1496                       944374E1497                       1E0


635                      609331E1500                       964538E1498                       599685E1500                       0E0


636                      387534E1503                       612964E1501                       381404E1503                       1E0


637                      246859E1506                       390151E1504                       242958E1506                       1E0


638                      157496E1509                       248721E1507                       155009E1509                       1E0


639                      100640E1512                       158808E1510                       990520E1511                       1E0


640                      644097E1514                       101558E1513                       633941E1514                       1E0


641                      412866E1517                       650480E1515                       406361E1517                       1E0


642                      265060E1520                       417282E1518                       260887E1520                       1E0


643                      170433E1523                       268104E1521                       167752E1523                       1E0


644                      109759E1526                       172525E1524                       108034E1526                       1E0


645                      707947E1528                       111192E1527                       696828E1528                       1E0


646                      457334E1531                       717746E1529                       450156E1531                       1E0


647                      295895E1534                       464023E1532                       291254E1534                       1E0


648                      191740E1537                       300455E1535                       188735E1537                       1E0


649                      124439E1540                       194845E1538                       122490E1540                       1E0


650                      808855E1542                       126551E1541                       796200E1542                       1E0


651                      526564E1545                       823219E1543                       518332E1545                       1E0


652                      343320E1548                       536327E1546                       337957E1548                       1E0


653                      224188E1551                       349953E1549                       220688E1551                       1E0


654                      146619E1554                       228694E1552                       144332E1554                       1E0


655                      960354E1556                       149680E1555                       945386E1556                       1E0


656                      629992E1559                       981156E1557                       620181E1559                       1E0


657                      413905E1562                       644129E1560                       407463E1562                       1E0


658                      272349E1565                       423515E1563                       268114E1565                       1E0


659                      179478E1568                       278884E1566                       176689E1568                       1E0


660                      118455E1571                       183924E1569                       116616E1571                       1E0


661                      782992E1573                       121482E1572                       770844E1573                       1E0


662                      518341E1576                       803603E1574                       510304E1576                       1E0


663                      343660E1579                       532387E1577                       338336E1579                       1E0


664                      228190E1582                       353239E1580                       224657E1582                       1E0


665                      151746E1585                       234727E1583                       149399E1585                       1E0


666                      101063E1588                       156211E1586                       995010E1587                       1E0


667                      674091E1590                       104114E1589                       663680E1590                       1E0


668                      450293E1593                       694965E1591                       443343E1593                       1E0


669                      301246E1596                       464584E1594                       296600E1596                       0E0


670                      201834E1599                       311039E1597                       198724E1599                       0E0


671                      135431E1602                       208551E1600                       133345E1602                       1E0


672                      910097E1604                       140042E1603                       896093E1604                       1E0


673                      612495E1607                       941785E1605                       603077E1607                       1E0


674                      412822E1610                       634292E1608                       406479E1610                       1E0


675                      278654E1613                       427830E1611                       274376E1613                       1E0


676                      188370E1616                       288999E1614                       185480E1616                       1E0


677                      127527E1619                       195507E1617                       125571E1619                       1E0


678                      864633E1621                       132456E1620                       851387E1621                       1E0


679                      587085E1624                       898718E1622                       578098E1624                       1E0


680                      399218E1627                       610678E1625                       393111E1627                       1E0


681                      271867E1630                       415566E1628                       267712E1630                       1E0


682                      185413E1633                       283208E1631                       182581E1633                       1E0


683                      126637E1636                       193290E1634                       124704E1636                       1E0


684                      866201E1638                       132113E1637                       852989E1638                       1E0


685                      593347E1641                       904318E1639                       584304E1641                       1E0


686                      407036E1644                       619910E1642                       400837E1644                       1E0


687                      279634E1647                       425568E1645                       275378E1647                       1E0


688                      192388E1650                       292578E1648                       189462E1650                       1E0


689                      132555E1653                       201440E1651                       130541E1653                       1E0


690                      914633E1655                       138892E1654                       900744E1655                       1E0


691                      632011E1658                       959055E1656                       622421E1658                       1E0


692                      437352E1661                       663186E1659                       430720E1661                       1E0


693                      303084E1664                       459256E1662                       298492E1664                       0E0


694                      210340E1667                       318494E1665                       207156E1667                       1E0


695                      146186E1670                       221194E1668                       143975E1670                       1E0


696                      101746E1673                       153840E1671                       100207E1673                       1E0


697                      709170E1675                       107150E1674                       698455E1675                       1E0


698                      495001E1678                       747371E1676                       487527E1678                       1E0


699                      346005E1681                       522039E1679                       340785E1681                       1E0


700                      242204E1684                       365166E1682                       238552E1684                       1E0

